ENSMUSG00000091562,Crybg3
ENSMUSG00000091580,Gm6467
ENSMUSG00000091744,Gm17732
ENSMUSG00000092137,Gcom1
ENSMUSG00000092174,Gm7029
ENSMUSG00000092222,Gm20506
ENSMUSG00000092252,Gm20499
ENSMUSG00000092486,2610524H06Rik
ENSMUSG00000092636,Gm26381
ENSMUSG00000092641,Gm23563
